Order ID,Customer ID,Platform,Order Date & Time,Delivery Time (Minutes),Product Category,Order Value (INR),Customer Feedback,Service Rating,Delivery Delay,Refund Requested
ORD034452,CUST1175,Swiggy Instamart,00:29.5,43,Personal Care,1937,"Easy to order, loved it!",5,Yes,No
ORD034081,CUST8112,Blinkit,07:29.5,43,Grocery,1291,"Horrible experience, never ordering again.",1,Yes,Yes
ORD063588,CUST6167,Blinkit,09:29.5,15,Snacks,105,"Very late delivery, not happy.",2,No,Yes
ORD004294,CUST3725,Blinkit,21:29.5,29,Beverages,747,"Horrible experience, never ordering again.",1,No,Yes
ORD069103,CUST5044,Swiggy Instamart,19:29.5,44,Personal Care,915,Delivery person was rude.,2,Yes,Yes
ORD086412,CUST6178,JioMart,29:29.5,41,Snacks,478,Delivery person was rude.,2,Yes,Yes
ORD099477,CUST4827,JioMart,36:29.5,45,Dairy,746,Very satisfied with the service.,5,Yes,No
ORD053930,CUST9128,Blinkit,31:29.5,35,Dairy,378,"Very late delivery, not happy.",2,No,Yes
ORD087071,CUST2619,JioMart,31:29.5,32,Personal Care,1279,Items missing from order.,2,No,Yes
ORD065084,CUST9299,Swiggy Instamart,40:29.5,33,Fruits & Vegetables,230,Items missing from order.,2,No,Yes
ORD030713,CUST9166,Swiggy Instamart,09:29.5,26,Beverages,313,Quick and reliable!,5,No,No
ORD049183,CUST5418,JioMart,54:29.5,26,Snacks,409,Packaging could be better.,3,No,No
ORD057235,CUST6777,JioMart,23:29.5,31,Snacks,411,Good quality products.,4,No,No
ORD015664,CUST9647,Blinkit,30:29.5,5,Beverages,182,Wrong item delivered.,1,No,Yes
ORD019967,CUST3823,Blinkit,10:29.5,36,Fruits & Vegetables,158,"Easy to order, loved it!",5,No,No
ORD091913,CUST7278,Blinkit,31:29.5,39,Snacks,289,Excellent experience!,5,No,No
ORD091958,CUST8857,JioMart,34:29.5,30,Snacks,385,Delivery person was rude.,2,No,Yes
ORD081347,CUST5832,Blinkit,13:29.5,27,Dairy,688,Very satisfied with the service.,5,No,No
ORD055326,CUST7274,JioMart,11:29.5,27,Dairy,651,"Not fresh, disappointed.",2,No,Yes
ORD029858,CUST6078,Blinkit,46:29.5,18,Dairy,450,"Very late delivery, not happy.",2,No,Yes
ORD071223,CUST3642,Swiggy Instamart,36:29.5,44,Snacks,218,Good quality products.,4,Yes,No
ORD052459,CUST8185,Swiggy Instamart,20:29.5,39,Grocery,1407,Good quality products.,4,No,No
ORD088346,CUST5323,Blinkit,36:29.5,26,Snacks,304,Items missing from order.,2,No,Yes
ORD082364,CUST8956,Blinkit,22:29.5,39,Dairy,191,"Not fresh, disappointed.",2,No,Yes
ORD065350,CUST8625,Swiggy Instamart,56:29.5,44,Dairy,624,Quick and reliable!,5,Yes,No
ORD059650,CUST3423,Swiggy Instamart,34:29.5,40,Beverages,886,Packaging could be better.,3,No,No
ORD044953,CUST6112,Swiggy Instamart,21:29.5,24,Personal Care,807,Wrong item delivered.,1,No,Yes
ORD039526,CUST1039,Swiggy Instamart,44:29.5,16,Beverages,916,Good quality products.,4,No,No
ORD013936,CUST5313,Blinkit,07:29.5,33,Grocery,1036,Very satisfied with the service.,5,No,No
ORD093781,CUST3618,Swiggy Instamart,53:29.5,27,Fruits & Vegetables,54,Wrong item delivered.,1,No,Yes
ORD089885,CUST3826,Swiggy Instamart,04:29.5,25,Grocery,895,Wrong item delivered.,1,No,Yes
ORD081144,CUST5712,Swiggy Instamart,56:29.5,20,Snacks,99,"Horrible experience, never ordering again.",1,No,Yes
ORD095800,CUST4721,Blinkit,21:29.5,12,Fruits & Vegetables,418,Good quality products.,4,No,No
ORD089405,CUST7490,Swiggy Instamart,37:29.5,42,Snacks,214,"Not fresh, disappointed.",2,Yes,Yes
ORD055224,CUST9624,Blinkit,51:29.5,31,Personal Care,1555,Good quality products.,4,No,No
ORD073646,CUST8422,Blinkit,30:29.5,13,Dairy,729,"Horrible experience, never ordering again.",1,No,Yes
ORD066294,CUST8679,Swiggy Instamart,38:29.5,29,Grocery,1058,"Easy to order, loved it!",5,No,No
ORD065540,CUST5440,JioMart,45:29.5,31,Snacks,384,Packaging could be better.,3,No,No
ORD028111,CUST9995,Blinkit,35:29.5,29,Personal Care,1109,Delivery person was rude.,2,No,Yes
ORD041929,CUST2391,Swiggy Instamart,53:29.5,50,Personal Care,758,"Fast delivery, great service!",5,Yes,No
ORD086547,CUST9886,Swiggy Instamart,29:29.5,18,Grocery,1041,"Fast delivery, great service!",5,No,No
ORD082586,CUST3490,JioMart,45:29.5,45,Grocery,719,Good quality products.,4,Yes,No
ORD038604,CUST6259,Swiggy Instamart,24:29.5,49,Dairy,506,Wrong item delivered.,1,Yes,Yes
ORD091658,CUST6110,Swiggy Instamart,45:29.5,16,Dairy,355,Excellent experience!,5,No,No
ORD062787,CUST8642,Swiggy Instamart,48:29.5,44,Grocery,476,"Easy to order, loved it!",5,Yes,No
ORD084341,CUST3665,Swiggy Instamart,29:29.5,32,Dairy,672,Quick and reliable!,5,No,No
ORD039875,CUST9466,JioMart,18:29.5,26,Dairy,439,Packaging could be better.,3,No,No
ORD078469,CUST1615,Swiggy Instamart,38:29.5,32,Snacks,149,"Fast delivery, great service!",5,No,No
ORD031632,CUST3104,Swiggy Instamart,25:29.5,26,Beverages,786,Good quality products.,4,No,No
ORD014953,CUST5563,Swiggy Instamart,05:29.5,25,Dairy,612,Excellent experience!,5,No,No
ORD039332,CUST5843,Blinkit,17:29.5,30,Personal Care,1577,Excellent experience!,5,No,No
ORD048588,CUST7890,Blinkit,18:29.5,16,Snacks,97,Excellent experience!,5,No,No
ORD083595,CUST9482,Blinkit,30:29.5,26,Beverages,873,"Horrible experience, never ordering again.",1,No,Yes
ORD041488,CUST7967,JioMart,19:29.5,13,Grocery,1159,"Very late delivery, not happy.",2,No,Yes
ORD039628,CUST7401,JioMart,02:29.5,32,Dairy,608,"Horrible experience, never ordering again.",1,No,Yes
ORD087895,CUST5648,Blinkit,25:29.5,12,Dairy,205,Quick and reliable!,5,No,No
ORD026304,CUST4992,Blinkit,00:29.5,42,Grocery,1244,"Very late delivery, not happy.",2,Yes,Yes
ORD067404,CUST6299,Swiggy Instamart,35:29.5,31,Fruits & Vegetables,637,"Fast delivery, great service!",5,No,No
ORD098085,CUST2343,JioMart,10:29.5,26,Snacks,206,Items missing from order.,2,No,Yes
ORD095602,CUST7753,Swiggy Instamart,12:29.5,24,Fruits & Vegetables,197,Packaging could be better.,3,No,No
ORD005020,CUST3557,Blinkit,40:29.5,33,Dairy,660,Very satisfied with the service.,5,No,No
ORD005224,CUST3378,Swiggy Instamart,31:29.5,28,Fruits & Vegetables,293,"Not fresh, disappointed.",2,No,Yes
ORD015781,CUST6082,JioMart,31:29.5,38,Snacks,373,"Very late delivery, not happy.",2,No,Yes
ORD045557,CUST4919,Swiggy Instamart,58:29.5,8,Dairy,276,"Easy to order, loved it!",5,No,No
ORD012897,CUST8708,Blinkit,11:29.5,35,Beverages,920,Excellent experience!,5,No,No
ORD034305,CUST4919,Swiggy Instamart,42:29.5,31,Beverages,784,"Easy to order, loved it!",5,No,No
ORD093323,CUST8442,Swiggy Instamart,55:29.5,25,Dairy,362,Packaging could be better.,3,No,No
ORD005325,CUST7775,Swiggy Instamart,46:29.5,40,Dairy,565,Delivery person was rude.,2,No,Yes
ORD052926,CUST1605,Blinkit,04:29.5,19,Snacks,389,"Easy to order, loved it!",5,No,No
ORD062865,CUST3176,Blinkit,23:29.5,26,Grocery,358,Packaging could be better.,3,No,No
ORD008019,CUST1425,Blinkit,06:29.5,37,Beverages,366,"Not fresh, disappointed.",2,No,Yes
ORD082945,CUST3341,Blinkit,04:29.5,31,Beverages,999,Excellent experience!,5,No,No
ORD090377,CUST1088,Blinkit,38:29.5,34,Personal Care,915,"Not fresh, disappointed.",2,No,Yes
ORD041721,CUST5072,Swiggy Instamart,07:29.5,42,Fruits & Vegetables,269,"Horrible experience, never ordering again.",1,Yes,Yes
ORD000867,CUST4122,Blinkit,24:29.5,33,Dairy,620,Wrong item delivered.,1,No,Yes
ORD098444,CUST8135,Blinkit,07:29.5,30,Beverages,710,"Very late delivery, not happy.",2,No,Yes
ORD083040,CUST4651,Blinkit,19:29.5,23,Personal Care,708,"Easy to order, loved it!",5,No,No
ORD013925,CUST4048,Blinkit,58:29.5,56,Personal Care,1885,"Fast delivery, great service!",5,Yes,No
ORD079893,CUST7426,JioMart,01:29.5,36,Dairy,239,Excellent experience!,5,No,No
ORD031184,CUST8126,Swiggy Instamart,38:29.5,18,Dairy,392,Items missing from order.,2,No,Yes
ORD013800,CUST7215,JioMart,35:29.5,43,Snacks,319,Items missing from order.,2,Yes,Yes
ORD040989,CUST5954,JioMart,15:29.5,21,Grocery,457,"Very late delivery, not happy.",2,No,Yes
ORD066734,CUST5120,Blinkit,13:29.5,35,Dairy,324,"Easy to order, loved it!",5,No,No
ORD078331,CUST5960,Swiggy Instamart,15:29.5,40,Beverages,655,Good quality products.,4,No,No
ORD024379,CUST8962,Blinkit,48:29.5,32,Snacks,274,"Not fresh, disappointed.",2,No,Yes
ORD023415,CUST9257,Blinkit,08:29.5,20,Snacks,172,Very satisfied with the service.,5,No,No
ORD097560,CUST8270,Blinkit,53:29.5,24,Personal Care,917,Packaging could be better.,3,No,No
ORD022993,CUST9849,Blinkit,00:29.5,21,Dairy,181,Quick and reliable!,5,No,No
ORD003232,CUST3983,Blinkit,29:29.5,30,Grocery,1301,Excellent experience!,5,No,No
ORD041996,CUST8266,Swiggy Instamart,32:29.5,33,Beverages,596,Very satisfied with the service.,5,No,No
ORD049188,CUST9278,JioMart,05:29.5,26,Grocery,700,Delivery person was rude.,2,No,Yes
ORD022515,CUST6127,Swiggy Instamart,21:29.5,33,Fruits & Vegetables,658,Items missing from order.,2,No,Yes
ORD021326,CUST9205,Swiggy Instamart,18:29.5,32,Grocery,1303,Excellent experience!,5,No,No
ORD086234,CUST7748,Swiggy Instamart,18:29.5,26,Beverages,899,Delivery person was rude.,2,No,Yes
ORD088127,CUST6887,JioMart,27:29.5,26,Beverages,688,Quick and reliable!,5,No,No
ORD029824,CUST7365,Swiggy Instamart,34:29.5,31,Personal Care,1252,Very satisfied with the service.,5,No,No
ORD092485,CUST5790,JioMart,18:29.5,45,Fruits & Vegetables,56,"Fast delivery, great service!",5,Yes,No
ORD068425,CUST9900,Blinkit,50:29.5,53,Snacks,344,Very satisfied with the service.,5,Yes,No
ORD064484,CUST4658,Blinkit,03:29.5,27,Beverages,542,Excellent experience!,5,No,No
ORD051020,CUST9805,Swiggy Instamart,56:29.5,14,Snacks,397,"Easy to order, loved it!",5,No,No
ORD026754,CUST6954,Blinkit,17:29.5,30,Grocery,1022,"Very late delivery, not happy.",2,No,Yes
ORD049964,CUST8564,Swiggy Instamart,51:29.5,28,Snacks,165,Wrong item delivered.,1,No,Yes
ORD042732,CUST9583,Swiggy Instamart,09:29.5,40,Personal Care,1775,Excellent experience!,5,No,No
ORD029057,CUST2813,JioMart,42:29.5,37,Fruits & Vegetables,51,Very satisfied with the service.,5,No,No
ORD055318,CUST6887,Swiggy Instamart,47:29.5,30,Grocery,1134,Excellent experience!,5,No,No
ORD035497,CUST3205,Swiggy Instamart,13:29.5,37,Grocery,636,Packaging could be better.,3,No,No
ORD056338,CUST9869,Blinkit,01:29.5,26,Grocery,224,"Easy to order, loved it!",5,No,No
ORD079278,CUST9650,Blinkit,51:29.5,31,Personal Care,1496,Good quality products.,4,No,No
ORD005465,CUST5919,Swiggy Instamart,34:29.5,5,Snacks,187,Packaging could be better.,3,No,No
ORD070156,CUST6724,Blinkit,56:29.5,30,Dairy,490,Good quality products.,4,No,No
ORD070670,CUST8614,Swiggy Instamart,39:29.5,24,Dairy,775,"Very late delivery, not happy.",2,No,Yes
ORD056014,CUST5543,Blinkit,08:29.5,36,Beverages,608,Excellent experience!,5,No,No
ORD012086,CUST7909,Swiggy Instamart,48:29.5,29,Personal Care,1216,Quick and reliable!,5,No,No
ORD056819,CUST7024,Blinkit,49:29.5,31,Grocery,1176,Good quality products.,4,No,No
ORD020001,CUST2845,Swiggy Instamart,43:29.5,31,Snacks,305,"Fast delivery, great service!",5,No,No
ORD069067,CUST5120,Blinkit,56:29.5,32,Personal Care,108,Excellent experience!,5,No,No
ORD050453,CUST2471,Blinkit,09:29.5,33,Snacks,77,Excellent experience!,5,No,No
ORD090710,CUST1409,Blinkit,46:29.5,27,Beverages,597,Packaging could be better.,3,No,No
ORD052885,CUST9232,JioMart,06:29.5,23,Fruits & Vegetables,582,Excellent experience!,5,No,No
ORD030964,CUST1008,Blinkit,19:29.5,19,Beverages,864,"Easy to order, loved it!",5,No,No
ORD034574,CUST7573,JioMart,27:29.5,25,Dairy,441,"Fast delivery, great service!",5,No,No
ORD015295,CUST1524,JioMart,57:29.5,28,Dairy,372,Items missing from order.,2,No,Yes
ORD027919,CUST9471,JioMart,33:29.5,35,Grocery,743,Packaging could be better.,3,No,No
ORD046121,CUST2464,JioMart,46:29.5,34,Personal Care,882,Good quality products.,4,No,No
ORD035074,CUST6227,JioMart,24:29.5,24,Dairy,431,"Horrible experience, never ordering again.",1,No,Yes
ORD010551,CUST8415,Blinkit,46:29.5,29,Dairy,264,Wrong item delivered.,1,No,Yes
ORD091128,CUST7295,Blinkit,28:29.5,45,Snacks,305,"Horrible experience, never ordering again.",1,Yes,Yes
ORD000691,CUST5853,JioMart,40:29.5,39,Dairy,529,Packaging could be better.,3,No,No
ORD077730,CUST4385,JioMart,55:29.5,45,Snacks,177,"Very late delivery, not happy.",2,Yes,Yes
ORD036097,CUST9289,Swiggy Instamart,31:29.5,30,Dairy,439,"Not fresh, disappointed.",2,No,Yes
ORD065352,CUST2787,JioMart,04:29.5,33,Fruits & Vegetables,83,Excellent experience!,5,No,No
ORD011041,CUST1884,Swiggy Instamart,59:29.5,34,Grocery,1470,Delivery person was rude.,2,No,Yes
ORD004222,CUST4585,JioMart,44:29.5,12,Personal Care,1779,Very satisfied with the service.,5,No,No
ORD000822,CUST2899,Blinkit,20:29.5,27,Snacks,206,Excellent experience!,5,No,No
ORD038129,CUST2206,Swiggy Instamart,41:29.5,41,Fruits & Vegetables,277,Items missing from order.,2,Yes,Yes
ORD089152,CUST8809,Blinkit,06:29.5,36,Grocery,1005,Very satisfied with the service.,5,No,No
ORD029232,CUST4218,JioMart,21:29.5,22,Grocery,651,"Not fresh, disappointed.",2,No,Yes
ORD050557,CUST8126,JioMart,15:29.5,32,Snacks,212,"Very late delivery, not happy.",2,No,Yes
ORD033685,CUST6383,Swiggy Instamart,43:29.5,40,Fruits & Vegetables,55,Very satisfied with the service.,5,No,No
ORD058754,CUST5576,Swiggy Instamart,08:29.5,25,Personal Care,1346,Excellent experience!,5,No,No
ORD027023,CUST2763,JioMart,16:29.5,25,Beverages,983,Wrong item delivered.,1,No,Yes
ORD036906,CUST7013,Blinkit,40:29.5,36,Grocery,694,"Fast delivery, great service!",5,No,No
ORD000271,CUST6183,Blinkit,57:29.5,33,Dairy,341,Very satisfied with the service.,5,No,No
ORD008867,CUST4823,Swiggy Instamart,16:29.5,24,Personal Care,1068,Packaging could be better.,3,No,No
ORD015007,CUST5027,JioMart,30:29.5,22,Snacks,234,"Very late delivery, not happy.",2,No,Yes
ORD004689,CUST8260,JioMart,34:29.5,43,Personal Care,513,"Fast delivery, great service!",5,Yes,No
ORD081996,CUST8134,Swiggy Instamart,04:29.5,31,Snacks,90,"Not fresh, disappointed.",2,No,Yes
ORD084373,CUST8286,Blinkit,13:29.5,65,Snacks,113,"Fast delivery, great service!",5,Yes,No
ORD002515,CUST8851,Swiggy Instamart,48:29.5,22,Personal Care,455,Delivery person was rude.,2,No,Yes
ORD036400,CUST5652,Blinkit,00:29.5,37,Fruits & Vegetables,621,"Horrible experience, never ordering again.",1,No,Yes
ORD038869,CUST1418,JioMart,20:29.5,28,Dairy,524,Items missing from order.,2,No,Yes
ORD058245,CUST1097,JioMart,40:29.5,33,Beverages,940,Packaging could be better.,3,No,No
ORD030410,CUST3902,Blinkit,53:29.5,20,Beverages,177,"Not fresh, disappointed.",2,No,Yes
ORD054795,CUST4475,Swiggy Instamart,20:29.5,29,Grocery,1009,"Very late delivery, not happy.",2,No,Yes
ORD019264,CUST9284,JioMart,13:29.5,37,Snacks,186,Very satisfied with the service.,5,No,No
ORD083910,CUST2977,Blinkit,30:29.5,46,Snacks,153,Delivery person was rude.,2,Yes,Yes
ORD026974,CUST2734,Swiggy Instamart,24:29.5,31,Beverages,122,"Horrible experience, never ordering again.",1,No,Yes
ORD007130,CUST1853,JioMart,14:29.5,25,Grocery,674,Quick and reliable!,5,No,No
ORD007145,CUST3938,Blinkit,51:29.5,25,Grocery,871,Quick and reliable!,5,No,No
ORD045466,CUST3107,Swiggy Instamart,55:29.5,30,Beverages,490,Wrong item delivered.,1,No,Yes
ORD001967,CUST2641,Blinkit,43:29.5,24,Grocery,1148,Packaging could be better.,3,No,No
ORD015153,CUST7994,Blinkit,52:29.5,34,Personal Care,1638,"Easy to order, loved it!",5,No,No
ORD019114,CUST8418,Swiggy Instamart,58:29.5,10,Grocery,1219,"Easy to order, loved it!",5,No,No
ORD076207,CUST6737,Swiggy Instamart,39:29.5,24,Beverages,380,Items missing from order.,2,No,Yes
ORD032142,CUST9866,Blinkit,07:29.5,16,Snacks,401,Quick and reliable!,5,No,No
ORD021935,CUST8461,JioMart,43:29.5,25,Fruits & Vegetables,195,Packaging could be better.,3,No,No
ORD040360,CUST8810,Blinkit,15:29.5,44,Fruits & Vegetables,402,"Easy to order, loved it!",5,Yes,No
ORD053842,CUST8132,Swiggy Instamart,27:29.5,13,Fruits & Vegetables,666,Wrong item delivered.,1,No,Yes
ORD009163,CUST3999,Blinkit,26:29.5,53,Grocery,1015,"Horrible experience, never ordering again.",1,Yes,Yes
ORD087844,CUST7967,JioMart,20:29.5,13,Dairy,261,Items missing from order.,2,No,Yes
ORD037630,CUST3869,JioMart,21:29.5,34,Grocery,798,Good quality products.,4,No,No
ORD083305,CUST6904,JioMart,50:29.5,43,Fruits & Vegetables,398,Packaging could be better.,3,Yes,No
ORD066270,CUST9836,Swiggy Instamart,05:29.5,25,Dairy,535,"Fast delivery, great service!",5,No,No
ORD034654,CUST7054,Blinkit,41:29.5,26,Grocery,308,Packaging could be better.,3,No,No
ORD041963,CUST9505,JioMart,58:29.5,62,Personal Care,1400,Good quality products.,4,Yes,No
ORD039591,CUST5761,Blinkit,32:29.5,31,Grocery,266,"Very late delivery, not happy.",2,No,Yes
ORD081036,CUST8939,JioMart,26:29.5,39,Grocery,507,"Very late delivery, not happy.",2,No,Yes
ORD010981,CUST7342,Blinkit,05:29.5,28,Snacks,489,Very satisfied with the service.,5,No,No
ORD056300,CUST9608,JioMart,10:29.5,22,Personal Care,1113,Very satisfied with the service.,5,No,No
ORD061549,CUST5841,Swiggy Instamart,58:29.5,26,Fruits & Vegetables,488,"Very late delivery, not happy.",2,No,Yes
ORD088401,CUST2288,JioMart,29:29.5,10,Fruits & Vegetables,672,"Horrible experience, never ordering again.",1,No,Yes
ORD044324,CUST2201,Blinkit,09:29.5,22,Personal Care,1912,"Not fresh, disappointed.",2,No,Yes
